"EcoPortCode","ScientificName","AUTH","FAMNAME","SYNO","COMNAME","LIFO","HABI","LISPA","PHYS","CAT","PLAT","TOPMN","TOPMX","TMIN","TMAX","ROPMN","ROPMX","RMIN","RMAX","PHOPMN","PHOPMX","PHMIN","PHMAX","LATOPMN","LATOPMX","LATMN","LATMX","ALTMX","LIOPMN","LIOPMX","LIMN","LIMX","DEP","DEPR","TEXT","TEXTR","FER","FERR","TOX","TOXR","SAL","SALR","DRA","DRAR","KTMPR","KTMP","PHOTO","CLIZ","ABITOL","ABISUS","INTRI","PROSY","GMIN","GMAX"
289,"Abelmoschus esculentus","(L.) Moench","Magnoliopsida:Dilleniidae:Malvales:Malvaceae","Hibiscus esculentus L.","abelmoskus, america-neri, bakhua mun, bamia, bamija, bamya, bandakai, bende', bhindee, bhindi, bindi, bumbo, bunga depros, calulu', cantarella, chaucha turca, dâu bap, Eibisch, frutto d‚ibisco, gobbo, gombaut, gombo, Gombro, haluyoy, huang qiu kui, ibisco, kacang bendi, kacang lender, kembang dapros, ketmie comestible, kopi arab, krachiap man, krachiapkhieo, lady fingers, lady's finger, mesta, ocra, okay, oker, okra, okro, okura, quiabo, quimbambo, quimgombó, quingombo, ramturai, rosenapfel, saluyota bunga, sayur bendi, tori, tuah lek, vendakai, yong kok dau","herb","erect","annual","single stem","vegetables","grown on large scale",20,30,12,35,600,1200,300,2500,5.5,7,4.5,8.7,NA,NA,35,40,1000,"clear skies","clear skies","very bright","cloudy skies","shallow (20-50 cm)","shallow (20-50 cm)","heavy, medium, light, organic","heavy, medium, light","high","moderate","","","low (<4 dS/m)","low (<4 dS/m)","well (dry spells)","well (dry spells)",NA,NA,"short day (<12 hours)","tropical wet & dry (Aw), tropical wet (Ar), steppe or semiarid (Bs), subtropical humid (Cf), subtropical dry summer (Cs), subtropical dry winter (Cw)","","","","",50,180
290,"Abelmoschus manihot","(L.) Medic.","Magnoliopsida:Dilleniidae:Malvales:Malvaceae","Hibiscus manihot L. (1753), Abelmoschus manihot ssp. manihot [(L)]; Medikus","neka (Simbo), bele (Fiji), pele (Tonga, Tuvalu), aibika, island cabbage, baera, bush spinach, peli, slippery cabbage (Solomon Is.), bush cabbage, slipery kabis","shrub","erect","annual, perennial","","vegetables, ornamentals/turf, medicinals & aromatic","grown on small scale",22,30,16,36,1200,2000,1000,3000,5.5,7,5,8,NA,NA,NA,NA,1200,"very bright","clear skies","very bright","cloudy skies","medium (50-150 cm)","medium (50-150 cm)","medium, organic","heavy, medium, light","high","moderate","","","low (<4 dS/m)","low (<4 dS/m)","well (dry spells)","well (dry spells)",NA,NA,"long day (>14 hours)","tropical wet & dry (Aw), tropical wet (Ar)","","","","",365,365
291,"Abelmoschus moschatus","Medic.","Magnoliopsida:Dilleniidae:Malvales:Malvaceae","Hibiscus abelmoschus L. (1753).","abelmosk, musk mallow, mushkdan, muskdana, kasturi bhendi, gukhia korai, kasturi bhenda, kattukasturi, varttilai kasturi, lalkasturika, musk okra, ambrette, abelmosco, ambreta, rosa almiscarada, quiabo cheiroso, kasturi, gombo musqué, ketmie musquée, graine de musc, kamang, kaŒmang, karereon, karereon nikapwerik nik, kareron, likonokon, gongul, metei, mety, methey, hathongethong, kamwayang, nikapwerik, setmwechin, sotumo, wakiwaki, wakewake, wakeke, vakeke, aukiki, oŒeŒe, fou ingo, fau ingo, Œaute toga, fau tagaloa, fua samasama, loa, fauŒingo, tropical jewel-hibiscus","herb, sub-shrub","prostrate/procumbent/semi-erect","annual, biennial, perennial","deciduous, multi stem","ornamentals/turf, medicinals & aromatic","",20,30,10,35,1000,1400,900,1500,5.5,7,5,8,NA,NA,23,29,900,"cloudy skies","very bright","light shade","very bright","medium (50-150 cm)","shallow (20-50 cm)","medium, organic","medium, organic","high","moderate","","","low (<4 dS/m)","low (<4 dS/m)","well (dry spells)","well (dry spells)",NA,NA,"","tropical wet & dry (Aw)","","","can become a weed","",0,0
295,"Acacia auriculiformis","Cunn. ex Benth.","Magnoliopsida:Rosidae:Fabales:Leguminosae","Racosperma auriculiforme (A. Cunn. ex Benth.) Pedley","Papuan wattle, auri, ear leaf acacia, tuhkehn pwelmwahu (Pohnpei), black wattle, ear pod wattle, wattle, earleaf acacia","tree","erect","perennial","single stem","forest/wood","grown on large scale",24,32,10,40,1200,2500,500,5000,6,8,3,9.5,10,7,17,20,600,"very bright","very bright","very bright","clear skies","medium (50-150 cm)","shallow (20-50 cm)","heavy, medium, light","heavy, medium, light","low","low","","","low (<4 dS/m)","medium (4-10 dS/m)","poorly (saturated >50% of year), well (dry spells)","poorly (saturated >50% of year), well (dry spells), excessive (dry/moderately dry)",NA,NA,"short day (<12 hours)","tropical wet & dry (Aw), tropical wet (Ar)","fire, drought","","","",180,240
297,"Acacia farnesiana","(L.) Willd.","Magnoliopsida:Rosidae:Fabales:Leguminosae","Mimosa farnesiana L., Mimosa acicularis Poir., Acacia lenticulata F. Muell., Vachellia farnesiana (L.) Wight & Arn., Acacia comosa Gagnep.","Ellington curse, klu, cassie, espino blanco, aroma, popinac, kandaroma, kolu, vaivai vaka-vatona, vaivai vakavotona, ban baburi, oki, te kaibakoa (Kiribati), debena (Nauru), mimosa bush, needle bush, sweet acacia, Prickly Moses, Perfumed wattle, Cassie flower, Sweet Mimosa Bush, Sponge flower, Scented Wattle","tree","erect","perennial","single stem","materials, ornamentals/turf, medicinals & aromatic, environmental","grown on small scale",20,32,7,42,400,1400,150,4000,6.5,7,4.3,8,12,12,36,36,1300,"very bright","clear skies","very bright","cloudy skies","deep (>>150 cm)","medium (50-150 cm)","medium, light","heavy, medium, light","low","low","","","low (<4 dS/m)","high (>10 dS/m))","well (dry spells), excessive (dry/moderately dry)","well (dry spells), excessive (dry/moderately dry)",NA,NA,"short day (<12 hours)","tropical wet & dry (Aw), steppe or semiarid (Bs), subtropical dry summer (Cs)","","","can become a weed","",60,240
298,"Acacia holosericea","A. Cunn.","Magnoliopsida:Rosidae:Fabales:Leguminosae","","Strap wattle, Candelabra wattle","shrub, tree","erect","perennial","single stem, multi stem","ornamentals/turf, forest/wood, environmental","grown on small scale",24,32,12,45,600,1200,250,1600,5.5,7.5,4.5,8.5,13,11,22,24,750,"very bright","very bright","very bright","clear skies","medium (50-150 cm)","shallow (20-50 cm)","medium, light","medium, light","moderate","low","","","low (<4 dS/m)","low (<4 dS/m)","well (dry spells)","poorly (saturated >50% of year), well (dry spells), excessive (dry/moderately dry)",-1,-1,"short day (<12 hours)","tropical wet & dry (Aw), steppe or semiarid (Bs)","","","","",120,300
299,"Acacia mellifera","(Vahl) Benth.","Leguminosae","Mimosa mellifera","Kitr","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","",NA,NA,"","","","","","",0,0
318,"Adenanthera pavonina","L.","Magnoliopsida:Rosidae:Fabales:Leguminosae","","Acacia Coral, adenantero, Agati, Agati Petite Feuille, Arbreglise, Barbados coralwood, Barbados pride, bead tree, Bois Noir de Bourbon, Bois Noir la Graine, Bois Noir Rouge, Bois Noir, caralillo, caralín, carolina, chan‚trèi, circassian bean, circassian seed, Corail Vegetale, Coral Wood, coral, Coralitos, coralitos peonía, crab's eyes, Curly Bean, Deleite, Delicia, Dilmawi, église, Extranjera, flower-fence, Graine-r‚glisse, Graines Rouges, Jumbi Bead, L‚glise, jumbie bead, kitoke laut, Lagati, lam, legliz, Lera, lopa, ma clam ta cheng, ma clam ton, ma hok daeng, mai-chek, malatinglin, mangelim, olho de pavao, Paina, peacock flower-fence, peronía, peronías, Pitipitio, Pomea, Popoa, R‚glisse, raktakambal, Red Bead Tree, Red Sandalwood Tree, Red Sandalwood, reglisse, saga telik, saga tumpul, saga, sandal bead tree, segawe sabrang, suga, temo-carolina, tento carolina, Vaivai Ni Vavalagired, sandalwood tree, zumbic tree","tree","erect","perennial","deciduous, single stem","forage/pasture, vegetables, materials, ornamentals/turf, medicinals & aromatic, forest/wood, environmental","",22,28,12,36,3000,5000,2000,6000,5,7,4.5,7.5,NA,NA,30,35,400,"cloudy skies","clear skies","light shade","very bright","deep (>>150 cm)","shallow (20-50 cm)","medium, light","heavy, medium, light, wide, organic","high","moderate","","","low (<4 dS/m)","low (<4 dS/m)","well (dry spells)","well (dry spells), excessive (dry/moderately dry)",NA,NA,"","tropical wet & dry (Aw), tropical wet (Ar), subtropical humid (Cf)","","wind","","",365,365
326,"Aeschynomene americana","L.","Magnoliopsida:Rosidae:Fabales:Leguminosae","","American joint vetch, bastard sensitive plant","shrub","erect","annual, perennial","multi stem","forage/pasture","grown on large scale, grown on small scale",22,30,7,35,1000,1500,600,4000,5.5,7,4,8,NA,NA,30,30,2800,"clear skies","clear skies","very bright","cloudy skies","shallow (20-50 cm)","shallow (20-50 cm)","heavy, medium, light","heavy, medium, light","moderate","moderate","","","low (<4 dS/m)","low (<4 dS/m)","poorly (saturated >50% of year)","poorly (saturated >50% of year), well (dry spells)",NA,NA,"short day (<12 hours)","tropical wet & dry (Aw), tropical wet (Ar), subtropical humid (Cf)","drought, flooding","","","",60,220
329,"Agathis australis","(Lamb.) Steud.","Pinopsida:Araucariaceae","Dammara australis Lamb.","New Zealand kauri","tree","erect","perennial","evergreen, single stem","forest/wood","",14,24,5,32,1200,1600,1000,2000,4.8,5.5,4.5,6.5,34,34,38,38,400,"very bright","clear skies","very bright","cloudy skies","deep (>>150 cm)","medium (50-150 cm)","medium, light","heavy, medium, light","high","moderate","","","low (<4 dS/m)","low (<4 dS/m)","well (dry spells)","well (dry spells)",-17,-1,"short day (<12 hours), neutral day (12-14 hours), long day (>14 hours)","subtropical humid (Cf)","","wind","","",150,240
